iter	RMSE
350	61.58345135
351	61.52383307
352	61.40013498
353	61.34548057
354	61.33818136
355	61.29780183
356	61.17355445
357	61.08648877
358	61.06139272
359	61.03678661
360	60.98496109
361	60.90869924
362	60.81310316
363	60.80677373
364	60.61706465
365	60.58907884
366	60.4546957
367	60.30447233
368	60.28141511
369	60.17392819
370	60.08836571
371	60.02061903
372	59.9389876
373	59.8129343
374	59.77109516
375	59.7423428
376	59.70122262
377	59.61158564
378	59.60119819
379	59.48993222
380	59.30568168
381	59.24047776
382	59.16916357
383	59.12003994
384	59.00614548
385	58.90085374
386	58.78458846
387	58.67922549
388	58.64525016
389	58.60910425
390	58.50296057
391	58.48159
392	58.37778408
393	58.30271086
394	58.29018217
395	58.2295855
396	58.19139698
397	58.1412085
398	58.01674867
399	57.85741346
400	57.76755903
401	57.73683879
402	57.64842586
403	57.59879263
404	57.51526236
405	57.40356853
406	57.36524275
407	57.35965258
408	57.28500035
409	57.2302316
410	57.22080876
411	57.14148731
412	57.07260717
413	57.00953909
414	56.91820433
415	56.84162386
416	56.77368245
417	56.68747352
418	56.6687158
419	56.6530764
420	56.62089508
421	56.54487197
422	56.46610454
423	56.46046475
424	56.45222977
425	56.36381705
426	56.25590185
427	56.14584444
428	56.1067223
429	56.02033518
430	55.97598101
431	55.86277352
432	55.77624858
433	55.73648544
434	55.72788017
435	55.65648553
436	55.62306085
437	55.54021703
438	55.48704496
439	55.39834213
440	55.33990991
441	55.21938229
442	55.14614975
443	55.07146312
444	54.93670396
445	54.88019642
446	54.75547678
447	54.6762253
448	54.61942439
449	54.55025857
450	54.49150826
451	54.41653441
452	54.34932332
453	54.32394878
454	54.23487023
455	54.18382614
456	54.12234197
457	54.03652022
458	53.95630823
459	53.86235765
460	53.856963
461	53.83015916
462	53.73623529
463	53.67173526
464	53.64775945
465	53.54727451
466	53.474706
467	53.42947612
468	53.42632045
469	53.34518027
470	53.2804948
471	53.19921055
472	53.17130173
473	53.06207444
474	53.05445958
475	52.99372029
476	52.93414263
477	52.88890185
478	52.81023229
479	52.78029225
480	52.69947086
481	52.64380444
482	52.61935808
483	52.56384786
484	52.49375927
485	52.46701005
486	52.45047645
487	52.37645513
488	52.3011022
489	52.2616698
490	52.23190601
491	52.17937923
492	52.06801636
493	51.9729967
494	51.90560744
495	51.84885579
496	51.78063085
497	51.69242629
498	51.60809958
499	51.52231411
